WL(nm),WV2 Pan,WV2 Coastal Blue,WV2 Blue,WV2 Green,WV2 Yellow,WV2 Red,WV2 RedEdge,WV2 NIR1,WV2 NIR2
840,0.409,0.0512,0.0686,0.0003,0.0119,0.0062,0.0003,806.711,1.3547
842.5,0.4071,0.0388,0.0662,0.0004,0.0076,0.0064,0.0003,810.76,1.3002
845,0.3964,0.0287,0.078,0.0008,0.012,0.0084,0.0002,794.161,1.4918
847.5,0.4203,0.0282,0.0785,0.0003,0.0127,0.0069,0.0004,779.884,2.231
850,0.4465,0.0423,0.0748,0.0001,0.0171,0.0027,0.0004,767.313,4.3284
852.5,0.4033,0.0284,0.0557,0.0023,0.0114,0.0065,0.0002,749.602,10.5836
855,0.3613,0.0276,0.0449,0.0086,0.0067,0.0063,0.0008,739.271,30.5957
857.5,0.3303,0.0314,0.0383,0.0047,0.0086,0.0065,0.0008,738.714,107.853
860,0.298,0.0321,0.0324,0.0017,0.0089,0.0051,0.0019,734.145,313.746
862.5,0.3011,0.0255,0.0264,0.0002,0.0068,0.0071,0.0039,711.833,571.884
865,0.3085,0.0155,0.0202,0.0001,0.0044,0.0092,0.0088,697.141,789.269
867.5,0.2862,0.0168,0.0219,0.0017,0.0064,0.0108,0.0112,680.462,951.541
870,0.2615,0.0152,0.0214,0.0013,0.0049,0.0067,0.0114,658.635,987.144
872.5,0.2536,0.0173,0.0236,0.0017,0.0058,0.0079,0.0077,649.781,991.677
875,0.2423,0.0183,0.027,0.001,0.006,0.0041,0.0047,632.471,993.363
877.5,0.2746,0.0163,0.0351,0.0002,0.0049,0.0043,0.0043,619.908,999.691
880,0.307,0.0163,0.0351,0.0117,0.0019,0.0086,0.0104,609.12,996.691
882.5,0.295,0.0211,0.0308,0.0095,0.0039,0.0062,0.0084,598.992,983.327
885,0.2837,0.0168,0.0297,0.0112,0.0036,0.0072,0.0076,590.914,970.856
887.5,0.2615,0.0132,0.028,0.0091,0.0029,0.0061,0.0074,566.107,952.36
890,0.2375,0.0099,0.0215,0.009,0.0033,0.0039,0.0089,507.112,933.02
892.5,0.2483,0.0096,0.0221,0.0085,0.003,0.0055,0.0118,402.799,922.376
895,0.259,0.0092,0.0192,0.0077,0.0031,0.0048,0.0153,275.174,910.922
897.5,0.2701,0.016,0.0175,0.0067,0.0047,0.005,0.019,157.667,899.767
900,0.2825,0.0189,0.0185,0.0077,0.0039,0.0057,0.0174,73.8047,892.112
902.5,0.2617,0.0195,0.0174,0.007,0.0043,0.0051,0.0171,32.787,878.565
905,0.2408,0.0168,0.0181,0.006,0.0039,0.0042,0.0183,13.8147,864.645
907.5,0.2486,0.0153,0.0187,0.0055,0.0038,0.0044,0.0187,5.3908,850.525
