wavelength_nm,Coastal_Blue,Blue,Green,Yellow,Red,RedEdge,NIR1,NIR2
492.45,9.98294e-07,0.08033014,1.0524658e-05,7.556442e-08,1.5527897e-07,6.708561e-07,2.8405934e-08,1.4091865e-08
497.13,7.2057674e-07,0.08403087,7.318974e-05,4.9383548e-08,1.8921313e-07,1.3008438e-06,9.6184145e-09,1.6151759e-10
501.82,1.3691789e-07,0.085323565,0.00059542106,3.5317335e-08,1.7597992e-07,1.6268616e-07,6.4560597e-09,3.7211578e-08
506.5,6.634697e-08,0.061319806,0.0064321845,2.5062873e-08,2.6864038e-08,3.1255252e-07,1.6213516e-08,2.3702382e-09
511.19,8.028196e-08,0.017430425,0.035809617,2.5063036e-08,2.0712651e-08,2.379084e-08,1.1667885e-08,1.3100915e-08
515.87,9.470413e-08,0.003121367,0.055034347,1.952425e-08,1.6334766e-08,1.1895188e-08,1.5526801e-08,4.0047656e-08
520.56,9.3274636e-08,0.00041803828,0.05817395,1.3485669e-08,1.6335191e-08,2.22678e-08,1.48123025e-08,1.5794795e-08
525.24,9.1369365e-08,0.00013580221,0.060179252,4.9800825e-08,7.315307e-09,1.1895188e-08,8.852555e-09,1.10584555e-08
529.93,3.5658056e-07,5.2963675e-05,0.06261997,6.266702e-08,1.631489e-08,2.378892e-08,4.740376e-09,4.137629e-07
534.62,4.2676408e-08,2.3839188e-05,0.06279381,2.5062546e-08,0.0,2.3049425e-08,0.0,1.9156882e-08
539.3,3.3516795e-08,1.0560489e-05,0.06317981,1.4928919e-08,6.6051196e-09,1.4171129e-08,0.0,2.1785091e-07
543.99,4.3178225e-08,4.971226e-06,0.06414062,5.012509e-08,8.167383e-09,1.1895188e-08,3.0410594e-09,8.313716e-09
548.67,7.32375e-06,5.0780964e-06,0.06506725,7.1220626e-07,8.1675955e-09,0.0,2.594692e-09,8.080044e-08
553.36,1.2018351e-07,5.322224e-06,0.067612,6.946798e-07,1.6004676e-09,1.6910445e-08,4.735194e-09,5.989406e-09
558.04,3.20999e-08,5.163204e-06,0.07042471,5.9753376e-07,1.5356683e-08,1.3972538e-08,9.076524e-09,4.702915e-09
562.73,4.906935e-08,4.749148e-06,0.072738975,1.5121448e-06,8.167383e-09,2.398855e-07,1.1284303e-10,0.0
567.41,2.9725733e-08,4.217869e-06,0.07400023,7.0151827e-06,8.1675955e-09,9.575115e-08,4.7353175e-09,0.0
572.1,3.957504e-10,3.7188388e-06,0.074003525,3.7175658e-05,8.727909e-09,2.1462472e-07,0.0,0.0
576.78,1.2999453e-07,2.6054358e-06,0.06970739,0.00021537478,2.1218456e-08,3.6875565e-07,9.519846e-10,2.4897946e-09
581.47,9.4094176e-08,1.5081815e-06,0.03303635,0.0018288273,2.508492e-08,7.206383e-07,0.0,2.5548534e-08
586.15,9.908448e-09,1.0675708e-06,0.0039367722,0.029684193,4.428349e-08,6.5563466e-07,2.0841877e-09,1.2038635e-08
590.84,1.07850276e-07,1.0304146e-06,0.00030520977,0.092575125,6.812111e-08,9.972873e-07,3.4907044e-09,1.2585279e-08
595.52,4.329792e-07,7.485149e-07,7.161437e-05,0.11344871,1.7198606e-07,1.6947847e-06,0.0,2.611363e-08
600.21,1.00579385e-07,7.007484e-07,1.560151e-05,0.11709541,1.0782813e-06,2.954414e-06,9.291264e-09,2.8153538e-08
604.9,1.2899322e-07,7.77124e-07,4.121822e-06,0.11864387,3.287346e-06,4.448269e-06,0.0,2.3513962e-08
609.58,2.11851e-07,6.8961606e-07,6.289999e-07,0.120787,9.054608e-06,6.035208e-06,7.120308e-10,5.450281e-08
614.27,4.9442826e-07,6.7385264e-07,1.6065921e-07,0.12381212,3.9919785e-05,1.0390451e-05,9.753939e-10,1.6080419e-08
